question,max_marks,student_answer,awarded,n_issues,issues
What is the function of the nucleus?,1,confirm DNA,0,0,
What is the function of the nucleus?,1,controls DNA,0,0,
Name one type of cell that does not contain a nucleus.,1,prokaryotic,1,0,
What is the function of ribosomes?,1,no answer,0,0,
Compare the structure of a red blood cell with the structure of a plant cell.,6,have genetic material related to them,0,0,
Name the type of cell division that produces genetically identical body cells for growth and repair.,1,mitosis,1,0,
Describe three differences between the processes of mitosis and meiosis.,3,"mitosis produce identical daughter cells, meiosis produce 4 genetically different daughter cells
mitosis is asexual reproduction, meiosis is sexual reproduction",1,0,
Describe three differences between the processes of mitosis and meiosis.,3,"mitosis produce  2 identical daughter cells, meiosis produce 4 genetically different daughter cells

mitosis is asexual reproduction, meiosis is sexual reproduction",2,0,
Describe three differences between the processes of mitosis and meiosis.,3,"mitosis produces two identical daughter cells, meiosis produces 4 genetically different daughter cells 

mitosis is asexual reproduction, meiosis is sexual reproduction",2,0,
Explain one way in which the root hair cell is adapted to take up water.,2,active transport,0,0,
Explain how a transplant of bone marrow cells can help to treat medical conditions.,2,the bone marrow cells can help cure lukemia,1,0,
What is a stem cell?,2,"where the human growth starts 
like zygotes",0,0,
Give one way a malignant tumour differs from a benign tumour.,1,it isn’t dangerous,0,0,
Explain how the structure of a leaf is adapted for efficient photosynthesis.,6,it grows upwards towards the sky to make it easier to absorb sunlight from the sun,0,0,
What is the function of the nucleus?,1,hold dna,1,0,
Give two similarities between prokaryotic cells and eukaryotic cells.,2,"Two key similarities between prokaryotic and eukaryotic cells are that they both have a cell membrane and ribosomes The cell membrane acts as a barrier, controlling what enters and exits the cell.
Ribosomes are involved in protein synthesis in both types of cells",2,0,
Give one way a malignant tumour differs from a benign tumour.,1,"A malignant tumor is a cancerous tumor that can invade nearby tissues and spread to other parts of the body, while a benign tumor is non-cancerous and does not spread.
The key difference lies in the ability to metastasise, which is the spread of cancer cells to distant locations.",1,0,
What is a stem cell?,2,special cells produced by bone marrow,0,0,
Give two similarities between prokaryotic cells and eukaryotic cells.,2,"Both have cell membrane 
Both have dna",2,0,
What is the function of the nucleus?,1,Comtains dna and controls the functions of the cells,1,0,
Give two advantages of using an electron microscope instead of a light microscope.,2,It can see microscopic organelles such as ribosomes,0,0,
Give one way a malignant tumour differs from a benign tumour.,1,"A malignant tumour is 
cancerous",0,0,
Give two similarities between prokaryotic cells and eukaryotic cells.,2,"both have cell membrane 
 both have ribosomes",2,0,
What is the function of the nucleus?,1,controls cell activities  and DNA,1,0,
Name one type of cell that does not contain a nucleus.,1,prokaryotic,1,0,
What is the function of ribosomes?,1,make proteins,1,0,
Name the structures inside the cell nucleus that contain DNA.,1,chromosome,1,0,
What type of substance does a gene code for?,1,protein,1,0,
Name the chemical which the genetic material is made from.,1,DNA,1,0,
Give three differences between the prokaryotic cell and the eukaryotic cells.,3,"Eukaryotic cells have a nucleus.
Prokaryotic cells don’t have a nucleus.

        Size:

        Eukaryotic cells are generally larger.
Prokaryotic cells are smaller.


        Eukaryotic cells have membrane-bound organelles.
        Prokaryotic cells lack membrane-bound organelle.",3,0,
Name one type of cell that does not contain a nucleus.,1,Bacterial cell,1,0,
What is a stem cell?,2,"it can turn into any type of cell
there are two types - embryonic and adult",1,0,
Explain why the red blood cell bursts but the plant cell does not burst when placed in water.,2,Red blood cell is smaller than plant cell so it cant hold as much water,0,0,
Calculate the magnification if an image measures 20mm and the actual object is 0.02mm.,2,"2000/0.02 
1000",2,0,
What is the function of the nucleus?,1,"controls the activities of the cell and 
contains dna",1,0,
What is the function of the nucleus?,1,controls the activities of the cell and contains dna,1,0,
What is the function of ribosomes?,1,to make proteins,1,0,
Explain why the red blood cell bursts but the plant cell does not burst when placed in water.,2,red blood cell is weaker than plant cell,0,0,
What is the function of the nucleus?,1,controls the activities of the cell and contains DNA,1,0,
Give two similarities between prokaryotic cells and eukaryotic cells.,2,"Both have a cell membrane
Both contain ribosomes",2,0,
What is the function of the nucleus?,1,"The nucleus is like the control center of a eukaryotic cell. Its main function is to store the cell’s genetic material—DNA—and coordinate activities such as growth,",1,0,
Name one type of cell that does not contain a nucleus.,1,Bacteria cell,1,0,
Give two advantages of using an electron microscope instead of a light microscope.,2,"Higher resolution — 
Electron microscopes
Greater magnification",2,0,
What is the function of ribosomes?,1,Ribosomes are the cell’s miniature factories for building proteins. Their main function is to assemble amino acids into proteins based on the instructions encoded in messenger RNA (mRNA).,1,0,
Explain why the red blood cell bursts but the plant cell does not burst when placed in water.,2,"Red blood cells don’t have a cell wall, only a thin, flexible membrane.
So when too much water enters, the pressure builds up and eventually causes the cell to swell and burst—a process called lysis.",1,0,
Explain why the red blood cell bursts but the plant cell does not burst when placed in water.,2,"Red blood cells don’t have a cell wall, only a thin, flexible membrane.
So when too much water enters, the pressure builds up and eventually causes the cell to swell and burst—a process called lysis.
Plant cells, on the other hand, are equipped with a sturdy cell wall made of cellulose.
As water enters, the central vacuole swells, and the cell becomes turgid (nice and firm), but it doesn’t burst.
The cell wall resists the pressure and keeps everything in check.",2,0,
Explain one way in which the root hair cell is adapted to take up water.,2,"One key adaptation of a root hair cell for water uptake is its long, thin extension—the root hair itself.
This structure increases the surface area of the cell dramatically, allowing it to absorb much more water from the soil through osmosis.
It’s like giving the cell extra ""arms"" to reach out",1,0,
Compare the structure and function of xylem tissue and phloem tissue.,6,"Xylem is made up of dead cells that form long, hollow tubes with thick, lignified walls.
These structures are rigid and help support the plant.

Phloem consists of living cells, including sieve tube elements and companion cells.
Sieve tubes have perforated ends, allowing substances to flow through, and companion cells help with loading and unloading",3,0,
